question-id;video-id;question;hint1;hint2;answer;answer-comm
1;1;Каким по счёту родился в семье актёр театра и кино Антон Лапенко?;Именно столько раз сборная СССР по хоккею становилась чемпионом мира подряд.;Именно под этим номером в сборной своей страны играл легендарный нападающий Роналдо Луис Назарио де Лима.;9;
2;1;Сколько женщин, по собственному утверждению, смог удовлетворить за один съёмочный день известный порноактёр Джон Доу?;Именно такое количество стран насчитывается в Африканском регионе.;Документальный фильм Никиты Михалкова о президенте Путине имеет именно такое название.;55;Джон Доу осчастливил 55 женщин. В Африканском регионе насчитывается 54 независимых государства (по данным ООН) или 55 с учётом всех территорий. Фильм Никиты Михалкова называется «55».
3;1;Сколько лет герой Кристофера Уокена хранил часы в своей заднице перед тем, как отдать их сыну своего друга в фильме «Криминальное чтиво»?;На лицевой стороне купюры этого номинала изображён Томас Джефферсон.;В названии американского комедийного сериала с Чарли Шином есть эта цифра.;2;"Герой хранил часы два года; купюра — 2 доллара; сериал — «Two and a Half Men»."
4;1;Сколько раз в песне Валерия Меладзе «Девушки из высшего общества» звучит фраза «девушки из высшего общества»?;В шахматах существует столько разных видов фигур.;Джеймс Бонд служил в организации, в названии которой есть эта цифра.;6;"Фраза звучит шесть раз; видов шахматных фигур — шесть; Джеймс Бонд служил в MI6."
5;1;Сколько сантиметров составляет длина пениса мексиканца Роберто Эскивеля Кабреры, человека, известного заявлением о самом длинном пенисе в мире?;Он весит около одного килограмма.;Фотоподсказка: Роберто Эскивель Кабрера.;48;Роберто Эскивель Кабрера утверждает, что длина его пениса составляет около 48 см. Его статус мирового рекордсмена оспаривается и Guinness его не признаёт.
6;1;Сколько драже в стандартной пачке Tic Tac?;В названии популярного скетч-шоу начала 2000-х есть это число — оно же похоже на площадь небольшой однокомнатной квартиры.;У англичан этого 26, а у русских столько.;33;"«33 квадратных метра» — комедийный сериал начала 2000-х; в русском алфавите 33 буквы, в английском — 26."
7;2;Какой номер был в названии модели iPhone, в которой впервые появилась Siri?;Именно в стольких городах мира проводят всемирно известные недели моды.;Если верить Хью Гранту, именно столько свадеб приходилось на одни похороны.;4;"Siri была включена в программное обеспечение iPhone 4S 4 октября 2011 года; Нью-Йорк, Лондон, Милан и Париж — города, где проводят недели моды; «Четыре свадьбы и одни похороны»."
8;2;Сколько человек погибло в первой части легендарной серии боевиков «Рэмбо»?;Известно, что во всех четырёх частях «Рэмбо» в общей сложности убиты 438 человек.;Если к этому числу прибавить один, получится название французской комедии с Омаром Си и Франсуа Клюзе.;1;В первом фильме о Рэмбо погиб всего один человек, и то не напрямую от рук Рэмбо, а в результате несчастного случая.
9;2;Сколько секунд, согласно данным сексологов, в среднем длится женский оргазм?;Это в среднем на 14 секунд дольше мужского.;Заставка киностудии 20 Century Fox длится столько секунд.;20;
10;2;С какого этажа Джон Макклейн сбросил Ганса Грубера в первой части фильма «Крепкий орешек»?;Именно столько фигур на шахматной доске в начале партии.;Заставка киностудии 20th Century Fox длится столько секунд.;32;
11;2;Сколько дней жительница кипрского города Лимасол Кивели Папаиоанну провёла в застрявшем лифте?;Именно столько граммов золота содержится в золотой олимпийской медали.;Именно столько мячей забила «Барселона» ПСЖ в ответном матче ЛЧ в 2017 году.;6;Рекорд по продолжительности пребывания в застрявшем лифте приписывают Кивели Папаиоанну. Она провёла в лифте шесть дней. Золотая олимпийская медаль изготавливается из серебра не ниже 925-й пробы, а затем покрывается шестью граммами золота.
12;2;Сколько пуль попало в Тупака Шакура во время смертельного покушения в Лас-Вегасе в 1996 году?;В зданиях Китая, Японии и Кореи иногда пропускают этажи с этим номером.;Это число равно числу пингвинов в мультфильме «Пингвины Мадагаскара».;4;Легендарный Тупак Шакур получил четыре пули и через несколько дней скончался в больнице. Пули попали в грудь (дважды), в правую руку и в бедро. В августе 2026 года Дуэйн Дэвис был признан виновным в организации убийства Тупака.
13;2;В августе 2018 года Мария Параскева вышла замуж в фате, вошедшей в Книгу рекордов Гиннесса как самая длинная в мире. Какой была её длина в километрах?;После выхода этого фильма Брэду Питту был запрещён въезд в Китай.;-;7;Длина фаты Марии Параскевы составила 6962,6 м, что примерно равняется 7 км. Понадобилось около 6 часов и 30 добровольцев, чтобы развернуть кружевную вуаль.
14;2;С какой скоростью при первом сокращении мышц сперма выбрасывается наружу? Ответ в километрах в час?;После выхода этого фильма Брэду Питту был запрещён въезд в Китай.;Дебютный альбом группы «Кино» назывался так же.;45;Скорость полёта семенной жидкости при первом сокращении мышц составляет в среднем 45 км/ч. Дональд Трамп – 45-й президент США. Первая пластинка группы «Кино» называлась «45».
15;2;Сколько килограммов настоящего мяса ушло на создание платья Леди Гаги в 2010 году?;Дональд Трамп являлся таким по счёту президентом США.;Это число соответствует самому продолжительному дню в году.;22;Скорость полёта семенной жидкости при первом сокращении мышц составляет в среднем 45 км/ч. Дональд Трамп — 45-й президент США. Первая пластинка группы «Кино» называлась «45».
16;2;Сколько подсолнухов на картине Ван Гога «Подсолнухи» в Лондонской национальной галерее?;Олимпийские игры в Москве в 1980 году были именно такими по счёту.;Это число соответствует самому продолжительному дню в году.;15;"На картине 15 подсолнухов; 15 серий «Бригады»; 15 человек на сундук мертвеца."
17;2;Сколько раз Курт Кобейн произносит фразу в финальном припеве самой популярной песни Nirvana?;Именно столько минут допустимо опоздание по дипломатическому этикету, и столько серий в сериале «Бригада».;Столько человек приходится на сундук мертвеца в пиратской песне.;9;"Кобейн произносит фразу 9 раз; Нед Старк погибает в 9 серии; у кошки 9 жизней."
18;2;Сколько всего фильмов в саге о Гарри Поттере?;В этой по счёту серии «Игры престолов» погибает Нед Старк.;Народная молва связывает это число с жизненным циклом кошек.;8;Семь книг о Гарри Поттере экранизировали в восьми фильмах: последнюю книгу, «Дары Смерти», разделили на две части.
19;20;Сколько раз Леонардо Ди Каприо был номинирован на премию «Оскар» как актёр, прежде чем получить её?;В 2024–2025 годах на экраны вышла именно такая часть мультфильма «Гадкий я».;Китай занимает это место среди стран мира по общей площади.;4;"1994 год — номинация за фильм «Что гложет Гилберта Грейпа»; 2005 год — за фильм «Авиатор»; 2007 год — за фильм «Кровавый алмаз»; 2014 год — за фильм «Волк с Уолл-стрит». Спустя два года Леонардо Ди Каприо получил «Оскар» за фильм «Выживший»."
20;20;Федеральная служба государственной статистики назвала наиболее подорожавшие в 2024 году продукты. Оказывается, сильнее всего за год подорожал именно картофель. На сколько процентов подорожал картофель?;В году, соответствующем правильному ответу, в современной России появились знаменитые ваучеры.;Бензин с таким октановым числом считается одним из самых ходовых в России.;92;
21;20;В июле 2024 года шведы Эмиль Ольссон и Фредрик Нильссон установили мировой рекорд по продолжительности игры в настольный теннис. Сколько часов длился их матч?;Именно столько человек можно увидеть на картине Леонардо да Винчи «Тайная вечеря».;Атомный номер алюминия в периодической таблице — именно такой.;13;
